config,selected_generators,num_search_qubits,dimension,seed,train_sample_count,exclude_hidden_optimum_from_training,exclude_hidden_optimum_from_initial,training_contains_hidden_optimum,initial_matches_hidden_optimum,hidden_best_bitstring,hidden_best_true_cost,initial_bitstring,initial_true_cost,final_bitstring,final_true_cost,found_hidden_exact_optimum,algorithmic_ed_lp_calls,hidden_reference_ed_lp_calls,circuit_executions,total_shots,max_qubits,max_circuit_depth,max_transpiled_depth,status,error
"0,5","[0, 5]",4,16,18,12,True,True,False,False,1100,24578.2152604,0011,40544.87922298824,1100,24578.2152604,True,14,16,13,26000,14,56,84,ok,
"0,5","[0, 5]",4,16,19,12,True,True,False,False,1100,24578.2152604,1110,30853.5596684,1000,27956.61606872647,False,13,16,14,28000,14,55,90,ok,
"0,1","[0, 1]",4,16,0,4,True,True,False,False,1100,33223.5533,0000,46579.28972722357,1100,33223.5533,True,10,16,13,26000,18,38,345,ok,
"0,1","[0, 1]",4,16,1,4,True,True,False,False,1100,33223.5533,1111,37223.5533,1111,37223.5533,False,7,16,12,24000,18,56,516,ok,
"0,1","[0, 1]",4,16,2,4,True,True,False,False,1100,33223.5533,1000,35794.7596684,1100,33223.5533,True,9,16,13,26000,18,38,336,ok,
"0,1","[0, 1]",4,16,3,4,True,True,False,False,1100,33223.5533,1001,39794.7596684,1101,37223.5533,False,10,16,21,42000,18,56,501,ok,
"0,1","[0, 1]",4,16,4,4,True,True,False,False,1100,33223.5533,1000,35794.7596684,1000,35794.7596684,False,8,16,12,24000,14,56,114,ok,
"0,1","[0, 1]",4,16,5,4,True,True,False,False,1100,33223.5533,1010,39794.7596684,1100,33223.5533,True,11,16,21,42000,22,38,333,ok,
"0,1","[0, 1]",4,16,6,4,True,True,False,False,1100,33223.5533,0110,39973.672854588236,1111,37223.5533,False,7,16,14,28000,22,56,516,ok,
"0,1","[0, 1]",4,16,7,4,True,True,False,False,1100,33223.5533,0010,40544.87922298824,1000,35794.7596684,False,8,16,13,26000,14,56,114,ok,
"0,1","[0, 1]",4,16,8,4,True,True,False,False,1100,33223.5533,0011,40544.87922298824,1100,33223.5533,True,10,16,16,32000,18,20,170,ok,
